wos_subject,ds_subject,mag_subject,count
"Engineering, Manufacturing",,Mathematics,12
Automation & Control Systems,Engineering,Materials science,12
"Computer Science, Artificial Intelligence",Information and Computing Sciences,Business,12
"Engineering, Civil",Mathematical Sciences,Engineering,12
"Physics, Fluids & Plasmas",Engineering,Physics,12
,Earth Sciences,Computer science,12
Geochemistry & Geophysics,Engineering;Information and Computing Sciences,Mathematics,12
"Social Sciences, Interdisciplinary",,Sociology,12
"Engineering, Civil",Engineering;Information and Computing Sciences,Engineering,12
Health Care Sciences & Services,Economics,Medicine,12
"Engineering, Civil",Economics;Engineering,Engineering,12
Integrative & Complementary Medicine,Medical and Health Sciences,Medicine,12
Pharmacology & Pharmacy,,Psychology,12
Physiology,Biological Sciences,Biology,12
"Psychology, Developmental",Medical and Health Sciences,Psychology,12
Obstetrics & Gynecology,,Biology,12
Economics,Mathematical Sciences,Economics,12
Optics,,Geography,12
Education & Educational Research,Mathematical Sciences,Mathematics,12
,Economics;Mathematical Sciences,,12
Multidisciplinary Sciences,Biological Sciences;Physical Sciences,,12
"Engineering, Electrical & Electronic",Engineering;Physical Sciences;Technology,Physics,12
Dermatology,,Biology,12
"Engineering, Geological",Engineering,Engineering,12
"Dentistry, Oral Surgery & Medicine",,Materials science,12
"Engineering, Biomedical",Medical and Health Sciences,Psychology,12
Optics,Physical Sciences;Technology,Physics,12
Green & Sustainable Science & Technology,Information and Computing Sciences,Computer science,12
"Education, Scientific Disciplines",Information and Computing Sciences,Engineering,12
Plant Sciences,Medical and Health Sciences,Biology,12
Sociology,,,12
,,Mathematics; Physics,11
Area Studies,,Sociology,11
Astronomy & Astrophysics,Engineering,Physics,11
Audiology & Speech-Language Pathology,Medical and Health Sciences,,11
"Computer Science, Artificial Intelligence",Medical and Health Sciences,,11
"Engineering, Electrical & Electronic",Information and Computing Sciences;Technology,,11
,Mathematical Sciences;Physical Sciences,Mathematics,11
Pediatrics,,,11
Economics,Economics,,11
"Engineering, Electrical & Electronic",,Medicine,11
Evolutionary Biology,Biological Sciences,,11
Anatomy & Morphology,,,11
Robotics,Information and Computing Sciences,Engineering,11
"Computer Science, Theory & Methods",,Engineering,11
Sport Sciences,,,11
GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,,,11
"Engineering, Geological",Engineering,,11
Mathematics,Information and Computing Sciences,Mathematics,11
"Agriculture, Multidisciplinary",,Economics,11
Management,Information and Computing Sciences,Computer science,11
,Biological Sciences;Information and Computing Sciences,,11
"Mathematics, Interdisciplinary Applications",Information and Computing Sciences;Mathematical Sciences,Mathematics,11
"Engineering, Electrical & Electronic",,Environmental science,11
"Computer Science, Artificial Intelligence",,Medicine,11
"Engineering, Biomedical",Engineering,Mathematics,11
Remote Sensing,Information and Computing Sciences,Mathematics,11
Medical Informatics,,,11
"Engineering, Aerospace",Engineering,Computer science,11
Acoustics,Engineering,Engineering,11
Marine & Freshwater Biology,Biological Sciences,Biology,11
Telecommunications,Engineering;Information and Computing Sciences,Computer science,11
Anatomy & Morphology,,Biology,11
Demography,,Economics,11
Biology,,Medicine,11
Management,,Business,11
"Medicine, Research & Experimental",,Chemistry,11
Biochemical Research Methods,Biological Sciences;Mathematical Sciences,Biology,11
Multidisciplinary Sciences,Information and Computing Sciences,Chemistry,11
"Computer Science, Interdisciplinary Applications",Economics;Mathematical Sciences,Mathematics,11
Biochemistry & Molecular Biology,Medical and Health Sciences,Chemistry,11
Biochemical Research Methods,Engineering,Medicine,11
Physiology,,Medicine,11
Pediatrics,Medical and Health Sciences,Medicine,11
"Materials Science, Biomaterials",Engineering,Materials science,11
Transportation,Mathematical Sciences,Engineering,11
"Medicine, Legal",Mathematical Sciences,Medicine,11
Gerontology,,Psychology,11
Cell Biology,Biological Sciences;Medical and Health Sciences,Biology,11
Energy & Fuels,Engineering;Information and Computing Sciences,Engineering,11
"Radiology, Nuclear Medicine & Medical Imaging",Medical and Health Sciences,,11
Biophysics,Engineering,,11
Meteorology & Atmospheric Sciences,,Physics,11
"Computer Science, Information Systems",Engineering,Mathematics,11
Meteorology & Atmospheric Sciences,,Mathematics,11
,Engineering;Mathematical Sciences,Engineering,11
Instruments & Instrumentation,Engineering,Physics,11
"Computer Science, Theory & Methods",,Medicine,11
Religion,,,11
Instruments & Instrumentation,Information and Computing Sciences,Engineering,11
Operations Research & Management Science,Information and Computing Sciences,Mathematics,11
"Chemistry, Inorganic & Nuclear",Physical Sciences,Chemistry,11
Food Science & Technology,,Biology,11
Biochemical Research Methods,Biological Sciences,Mathematics,11
Biochemical Research Methods,Biological Sciences;Information and Computing Sciences,Computer science,11
Nuclear Science & Technology,Physical Sciences,Physics,11
"Engineering, Ocean",Engineering,Mathematics,11
"Engineering, Biomedical",Biological Sciences,Biology,11
Developmental Biology,,Psychology,11
Geochemistry & Geophysics,Earth Sciences;Engineering,Geology,11
Nuclear Science & Technology,,,11
"Engineering, Marine",Engineering,,11
Mathematical & Computational Biology,Engineering;Mathematical Sciences,Biology,11
"Geography, Physical",,Computer science,11
Cell Biology,,Medicine,11
"Psychology, Applied",,,11
Business,,Sociology,11
,Biological Sciences,Materials science,11
Information Science & Library Science,,Engineering,11
Food Science & Technology,Engineering,Psychology,11
Biophysics,Earth Sciences;Physical Sciences,Biology,11
"Psychology, Multidisciplinary",Information and Computing Sciences,Psychology,11
"Engineering, Electrical & Electronic",Technology,Materials science,11
,Engineering;Technology,Materials science,10
,Physical Sciences,Biology,10
Remote Sensing,,Engineering,10
"Psychology, Biological",,,10
Imaging Science & Photographic Technology,,,10
"Geography, Physical",Engineering,Environmental science,10
"Engineering, Electrical & Electronic",Physical Sciences,Engineering,10
"Computer Science, Artificial Intelligence",Technology,Mathematics,10
,Engineering;Information and Computing Sciences;Mathematical Sciences,Computer science,10
Spectroscopy,Information and Computing Sciences,Chemistry,10
"Education, Scientific Disciplines",Engineering,Engineering,10
,Technology,Physics,10
"Engineering, Electrical & Electronic",,Geology,10
,Economics;Information and Computing Sciences,Computer science,10
"Engineering, Civil",Engineering;Mathematical Sciences,Engineering,10
Biochemical Research Methods,Information and Computing Sciences,Mathematics,10
"Engineering, Mechanical",,Physics,10
Green & Sustainable Science & Technology,,Sociology,10
,Biological Sciences;Information and Computing Sciences,Biology,10
"Mathematics, Interdisciplinary Applications",,Computer science,10
Cell & Tissue Engineering,Engineering,Biology,10
Biophysics,Engineering,Mathematics,10
"Engineering, Electrical & Electronic",Engineering;Physical Sciences;Technology,Mathematics,10
Astronomy & Astrophysics,,Computer science,10
"Computer Science, Artificial Intelligence",Information and Computing Sciences,Geography,10
Microscopy,Engineering;Physical Sciences,Materials science,10
"Engineering, Biomedical",Mathematical Sciences,Computer science,10
Energy & Fuels,,Geology,10
Multidisciplinary Sciences,Engineering,Medicine,10
Biology,Information and Computing Sciences,Biology,10
Nuclear Science & Technology,Physical Sciences,Chemistry,10
Ecology,,Chemistry,10
"Dentistry, Oral Surgery & Medicine",Engineering,Materials science,10
"Materials Science, Multidisciplinary",Information and Computing Sciences,Computer science,10
Nanoscience & Nanotechnology,Technology,Materials science,10
Environmental Sciences,Information and Computing Sciences,Engineering,10
Neurosciences,,Mathematics,10
Environmental Sciences,Engineering,Biology,10
"Computer Science, Interdisciplinary Applications",Mathematical Sciences,,10
"Materials Science, Composites",,Materials science,10
Imaging Science & Photographic Technology,,Computer science,10
"Engineering, Mechanical",Mathematical Sciences,,10
Thermodynamics,Engineering;Physical Sciences,Chemistry,10
,Engineering;Information and Computing Sciences;Technology,Engineering,10
Energy & Fuels,Information and Computing Sciences,Mathematics,10
"Chemistry, Medicinal",Medical and Health Sciences,Chemistry,10
,Economics;Mathematical Sciences,Computer science,10
Automation & Control Systems,Economics,Computer science,10
Gastroenterology & Hepatology,Medical and Health Sciences,Medicine,10
"Engineering, Biomedical",Engineering,Physics,10
Gastroenterology & Hepatology,Medical and Health Sciences,Biology,10
Geochemistry & Geophysics,Earth Sciences;Physical Sciences,Physics,10
Political Science,,Economics,10
Acoustics,Engineering;Physical Sciences,Physics,10
Pharmacology & Pharmacy,,Mathematics,10
,Engineering;Information and Computing Sciences;Technology,,10
,Biological Sciences,Environmental science,10
Metallurgy & Metallurgical Engineering,Engineering,,10
"Materials Science, Textiles",,Engineering,10
"Materials Science, Multidisciplinary",Information and Computing Sciences,Engineering,10
,Medical and Health Sciences,Engineering,10
Oceanography,,,10
Transportation Science & Technology,Engineering,,10
"Computer Science, Information Systems",Information and Computing Sciences,Geography,10
"Engineering, Biomedical",Engineering,Chemistry,10
Nuclear Science & Technology,Engineering,Physics,10
"Geosciences, Multidisciplinary",Mathematical Sciences,Mathematics,10
Endocrinology & Metabolism,Medical and Health Sciences,Psychology,10
"Chemistry, Multidisciplinary",,Computer science,10
"Engineering, Mechanical",Engineering;Mathematical Sciences,Engineering,10
Virology,Biological Sciences,,10
Reproductive Biology,,Biology,10
Construction & Building Technology,Information and Computing Sciences,Engineering,10
"Psychology, Clinical",Medical and Health Sciences,,10
,Mathematical Sciences,Materials science,10
"Chemistry, Multidisciplinary",Mathematical Sciences,,9
"Computer Science, Software Engineering",,Mathematics,9
"Chemistry, Physical",,Physics,9
Law,,Sociology,9
Microbiology,Biological Sciences,,9
Environmental Sciences,Earth Sciences,Geology,9
Transportation Science & Technology,,,9
Orthopedics,,,9
"Radiology, Nuclear Medicine & Medical Imaging",Information and Computing Sciences,,9
Peripheral Vascular Disease,,Biology,9
,Earth Sciences,Environmental science,9
,Engineering;Technology,Mathematics,9
Health Care Sciences & Services,Engineering,Medicine,9
Architecture,,Engineering,9
"Computer Science, Software Engineering",,Engineering,9
"Engineering, Manufacturing",Mathematical Sciences,Engineering,9
Astronomy & Astrophysics,Information and Computing Sciences;Physical Sciences,Physics,9
"Computer Science, Theory & Methods",Economics,Computer science,9
"Chemistry, Multidisciplinary",,Biology,9
Ergonomics,,,9
,Information and Computing Sciences,Art,9
"Computer Science, Interdisciplinary Applications",Information and Computing Sciences;Mathematical Sciences,Computer science,9
Acoustics,,Engineering,9
"Computer Science, Artificial Intelligence",Engineering,Materials science,9
"Engineering, Civil",Information and Computing Sciences,Computer science,9
Dermatology,,,9
International Relations,,,9
Automation & Control Systems,Biological Sciences,Computer science,9
"Engineering, Mechanical",Information and Computing Sciences,Materials science,9
"Engineering, Biomedical",Information and Computing Sciences,Mathematics,9
Music,,Computer science,9
,Engineering;Mathematical Sciences,Computer science,9
Operations Research & Management Science,Mathematical Sciences,Computer science,9
Multidisciplinary Sciences,Mathematical Sciences,Medicine,9
"Computer Science, Interdisciplinary Applications",Engineering;Information and Computing Sciences,Medicine,9
"Engineering, Ocean",Engineering,Engineering,9
"Engineering, Electrical & Electronic",Engineering;Technology,Engineering,9
Business,Information and Computing Sciences,Economics,9
"Humanities, Multidisciplinary",Information and Computing Sciences,Computer science,9
"Computer Science, Theory & Methods",Information and Computing Sciences,Materials science,9
"Medicine, General & Internal",,Biology,9
Transportation,,Engineering,9
"Chemistry, Analytical",,Engineering,9
Orthopedics,Engineering,Medicine,9
Biochemical Research Methods,Physical Sciences,Medicine,9
"Geography, Physical",Engineering,Geology,9
Forestry,,Geography,9
Physiology,,Chemistry,9
Telecommunications,Engineering;Information and Computing Sciences;Technology,Computer science,9
"Engineering, Civil",,Materials science,9
Electrochemistry,Engineering,Chemistry,9
"Radiology, Nuclear Medicine & Medical Imaging",Engineering,Mathematics,9
Geriatrics & Gerontology,Medical and Health Sciences,Medicine,9
Mathematical & Computational Biology,,Medicine,9
"Engineering, Electrical & Electronic",Engineering;Physical Sciences;Technology,Computer science,9
Neuroimaging,Medical and Health Sciences,Medicine,9
"Computer Science, Interdisciplinary Applications",Information and Computing Sciences,Medicine,9
Mathematical & Computational Biology,Information and Computing Sciences,Biology,9
Energy & Fuels,,Mathematics,9
Geochemistry & Geophysics,Engineering,Geology,9
Astronomy & Astrophysics,Earth Sciences;Physical Sciences,Physics,9
Remote Sensing,Earth Sciences,Geology,9
Audiology & Speech-Language Pathology,,Computer science,9
"Engineering, Civil",Economics;Engineering,,9
Pathology,,,9
"Public, Environmental & Occupational Health",,Biology,9
"Computer Science, Information Systems",Information and Computing Sciences,Business,9
"Chemistry, Multidisciplinary",Information and Computing Sciences,Materials science,9
"Computer Science, Theory & Methods",Engineering,Engineering,9
Meteorology & Atmospheric Sciences,Earth Sciences,Geography,9
"Engineering, Multidisciplinary",Physical Sciences,Physics,9
"Chemistry, Multidisciplinary",Biological Sciences,Chemistry,9
"Agriculture, Dairy & Animal Science",Biological Sciences,,9
"Physics, Fluids & Plasmas",Mathematical Sciences,Physics,9
Environmental Sciences,Information and Computing Sciences,Medicine,9
Soil Science,,Environmental science,9
"Medicine, Research & Experimental",Mathematical Sciences,Medicine,9
"Computer Science, Cybernetics",Information and Computing Sciences,Mathematics,9
"Medicine, Legal",Information and Computing Sciences,Medicine,9
"Computer Science, Interdisciplinary Applications",Biological Sciences;Medical and Health Sciences,Computer science,9
Neuroimaging,,Medicine,9
Multidisciplinary Sciences,Biological Sciences;Physical Sciences,Environmental science,9
,Biological Sciences;Physical Sciences,,9
Genetics & Heredity,,Medicine,9
"Engineering, Environmental",Mathematical Sciences,Mathematics,9
,Engineering;Information and Computing Sciences,Geology,9
"Materials Science, Multidisciplinary",,Computer science,9
Environmental Sciences,,Environmental science,9
Marine & Freshwater Biology,,,9
Instruments & Instrumentation,,Computer science,9
Cell Biology,Medical and Health Sciences,,9
"Engineering, Civil",Engineering,Computer science,9
Optics,,Medicine,9
Education & Educational Research,Information and Computing Sciences,Psychology,9
"Engineering, Biomedical",Physical Sciences,Computer science,9
"Computer Science, Artificial Intelligence",Information and Computing Sciences,Materials science,9
Remote Sensing,Engineering;Information and Computing Sciences,Geography,9
Health Care Sciences & Services,,Biology,9
"Engineering, Industrial",Mathematical Sciences,Mathematics,9
"Business, Finance",,Computer science,9
Environmental Sciences,Engineering;Information and Computing Sciences,Geography,9
"Computer Science, Theory & Methods",,Psychology,9
Multidisciplinary Sciences,Mathematical Sciences,Physics,9
Nutrition & Dietetics,Medical and Health Sciences,Medicine,9
"Engineering, Environmental",Engineering,Materials science,9
Acoustics,Mathematical Sciences,Mathematics,9
Medical Laboratory Technology,,,9
Biophysics,Biological Sciences,Biology,9
Economics,,Sociology,8
Biotechnology & Applied Microbiology,Biological Sciences,,8
Psychiatry,Medical and Health Sciences,,8
Polymer Science,,Chemistry,8
Rheumatology,,,8
"Engineering, Aerospace",Information and Computing Sciences,,8
Ophthalmology,Medical and Health Sciences,Biology,8
"Engineering, Ocean",Engineering,,8
Optics,Physical Sciences,Chemistry,8
,Engineering;Physical Sciences,Materials science,8
Operations Research & Management Science,Information and Computing Sciences,Computer science,8
Anatomy & Morphology,,Medicine,8
"Humanities, Multidisciplinary",,Sociology,8
"Computer Science, Artificial Intelligence",Biological Sciences,Biology,8
"Engineering, Electrical & Electronic",Information and Computing Sciences;Mathematical Sciences,Engineering,8
Optics,Physical Sciences,Materials science,8
"Computer Science, Artificial Intelligence",,Geography,8
Astronomy & Astrophysics,Engineering,,8
Zoology,Biological Sciences,,8
"Mathematics, Applied",,Physics,8
,,Computer science; Physics,8
"Engineering, Aerospace",Mathematical Sciences,Engineering,8
Metallurgy & Metallurgical Engineering,Information and Computing Sciences,Materials science,8
"Computer Science, Information Systems",Information and Computing Sciences;Technology,,8
,Information and Computing Sciences,History,8
"Physics, Particles & Fields",,,8
"Geography, Physical",Engineering,,8
Telecommunications,Information and Computing Sciences,,8
"Computer Science, Artificial Intelligence",,Business,8
Mathematics,Information and Computing Sciences,Computer science,8
Nanoscience & Nanotechnology,Physical Sciences,Chemistry,8
"Education, Scientific Disciplines",Mathematical Sciences,Mathematics,8
"Computer Science, Information Systems",Mathematical Sciences,Engineering,8
"Computer Science, Artificial Intelligence",Engineering;Information and Computing Sciences,Engineering,8
Biotechnology & Applied Microbiology,Biological Sciences;Information and Computing Sciences,Biology,8
"Computer Science, Hardware & Architecture",Technology,Engineering,8
"Engineering, Civil",Information and Computing Sciences,Economics,8
"Agriculture, Multidisciplinary",Biological Sciences,Biology,8
"Engineering, Chemical",,Mathematics,8
"Computer Science, Information Systems",Engineering,Engineering,8
Sociology,,Economics,8
Ornithology,,,8
Geography,,Computer science,8
Economics,,Computer science,8
Forestry,Engineering,Biology,8
Biochemistry & Molecular Biology,Biological Sciences;Information and Computing Sciences,Biology,8
"Engineering, Mechanical",Mathematical Sciences,Computer science,8
Biology,Biological Sciences,Mathematics,8
"Physics, Fluids & Plasmas",Physical Sciences,Physics,8
Biochemical Research Methods,,Psychology,8
"Public, Environmental & Occupational Health",,Engineering,8
Electrochemistry,,Chemistry,8
"Social Sciences, Mathematical Methods",Mathematical Sciences,Mathematics,8
Meteorology & Atmospheric Sciences,Information and Computing Sciences,Geology,8
Imaging Science & Photographic Technology,Information and Computing Sciences,Mathematics,8
Environmental Studies,Economics,Economics,8
Ecology,Mathematical Sciences,Biology,8
Biology,Mathematical Sciences,Computer science,8
Microscopy,Biological Sciences;Engineering;Physical Sciences,Chemistry,8
"Engineering, Electrical & Electronic",,Chemistry,8
Water Resources,Engineering;Mathematical Sciences,Mathematics,8
GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,,Engineering,8
Clinical Neurology,,Biology,8
,Earth Sciences,Mathematics,8
Critical Care Medicine,,,8
"Computer Science, Information Systems",Engineering;Information and Computing Sciences,,8
"Geography, Physical",Information and Computing Sciences,Computer science,8
"Computer Science, Interdisciplinary Applications",,Materials science,8
"Medicine, General & Internal",Medical and Health Sciences,,8
"Engineering, Civil",,Mathematics,8
,Engineering;Technology,Engineering,8
Remote Sensing,Engineering,Computer science,8
"Computer Science, Information Systems",,Geography,8
"Engineering, Manufacturing",Mathematical Sciences,Computer science,8
Multidisciplinary Sciences,Biological Sciences;Physical Sciences,Physics,8
Economics,Economics;Mathematical Sciences,Economics,8
"Materials Science, Paper & Wood",,,8
Allergy,,,8
"Computer Science, Information Systems",,Business,8
Energy & Fuels,Information and Computing Sciences,Chemistry,8
"Computer Science, Theory & Methods",Technology,Engineering,8
International Relations,,Sociology,8
Physiology,Medical and Health Sciences,Medicine,8
"Physics, Fluids & Plasmas",Engineering;Physical Sciences,Physics,8
Nanoscience & Nanotechnology,Engineering,Chemistry,8
,Engineering;Information and Computing Sciences;Mathematical Sciences,,8
Biophysics,Engineering,Materials science,8
Instruments & Instrumentation,,Mathematics,8
"Dentistry, Oral Surgery & Medicine",Engineering,Medicine,8
"Computer Science, Theory & Methods",Engineering,,8
Behavioral Sciences,,Medicine,8
Microscopy,Physical Sciences,Materials science,8
Environmental Studies,,Engineering,8
Urology & Nephrology,,,8
"Engineering, Industrial",,Economics,8
Anthropology,Biological Sciences,Biology,8
Economics,Economics,Mathematics,8
"Social Sciences, Interdisciplinary",Mathematical Sciences,Mathematics,8
Multidisciplinary Sciences,Physical Sciences,Materials science,8
Remote Sensing,Information and Computing Sciences,Geography,8
Agricultural Engineering,Engineering,,8
Biochemical Research Methods,,Mathematics,8
"Engineering, Civil",,Computer science,8
"Chemistry, Multidisciplinary",Physical Sciences,Chemistry,8
"Computer Science, Artificial Intelligence",Information and Computing Sciences,Psychology,8
,Biological Sciences,Geology,8
"Engineering, Aerospace",Engineering,Physics,8
Thermodynamics,Engineering,Mathematics,8
"Engineering, Electrical & Electronic",Engineering;Physical Sciences,,8
"Hospitality, Leisure, Sport & Tourism",,Sociology,8
"Engineering, Electrical & Electronic",Engineering,Environmental science,8
"Engineering, Electrical & Electronic",Engineering;Mathematical Sciences,Computer science,8
,Mathematical Sciences,Psychology,8
Water Resources,Engineering,,7
Optics,,Chemistry,7
Geochemistry & Geophysics,,Mathematics,7
Biochemical Research Methods,Physical Sciences,Chemistry,7
Hematology,,,7
Biochemical Research Methods,Mathematical Sciences,,7
Language & Linguistics,,Computer science,7
Meteorology & Atmospheric Sciences,Earth Sciences,Computer science,7
,Economics;Mathematical Sciences,Mathematics,7
Mechanics,Engineering,Chemistry,7
Microscopy,,Materials science,7
Medical Laboratory Technology,,Chemistry,7
Biophysics,,Physics,7
"Engineering, Multidisciplinary",Information and Computing Sciences,Materials science,7
,Information and Computing Sciences;Mathematical Sciences,Biology,7
"Engineering, Marine",,Engineering,7
Peripheral Vascular Disease,,,7
"Engineering, Electrical & Electronic",Engineering;Information and Computing Sciences;Technology,Engineering,7
"Humanities, Multidisciplinary",,Computer science,7
Development Studies,,,7
"Computer Science, Cybernetics",,Psychology,7
,Information and Computing Sciences;Mathematical Sciences;Technology,Computer science,7
"Materials Science, Multidisciplinary",Engineering,Computer science,7
"Agriculture, Multidisciplinary",Information and Computing Sciences,,7
"Engineering, Civil",Information and Computing Sciences,,7
"Computer Science, Interdisciplinary Applications",Engineering;Information and Computing Sciences,Engineering,7
Biology,Mathematical Sciences,Biology,7
,Technology,Biology,7
Anthropology,,Sociology,7
Environmental Sciences,Biological Sciences,Geology,7
"Materials Science, Multidisciplinary",Physical Sciences,Physics,7
"Agriculture, Dairy & Animal Science",,Psychology,7
"Psychology, Clinical",,Medicine,7
Biochemical Research Methods,Information and Computing Sciences;Mathematical Sciences,Computer science,7
"Business, Finance",Information and Computing Sciences,Computer science,7
Thermodynamics,Engineering;Mathematical Sciences,Physics,7
Biochemistry & Molecular Biology,Medical and Health Sciences,Medicine,7
Automation & Control Systems,Information and Computing Sciences;Mathematical Sciences,Engineering,7
"Agriculture, Multidisciplinary",Information and Computing Sciences,Biology,7
Behavioral Sciences,,Engineering,7
Biotechnology & Applied Microbiology,Engineering;Technology,Chemistry,7
"Engineering, Environmental",Engineering;Mathematical Sciences,Chemistry,7
"Engineering, Electrical & Electronic",Engineering;Physical Sciences,Computer science,7
"Chemistry, Medicinal",Information and Computing Sciences,Computer science,7
Water Resources,Information and Computing Sciences,Geology,7
Environmental Sciences,Earth Sciences,Chemistry,7
Environmental Sciences,Information and Computing Sciences,Biology,7
Spectroscopy,Physical Sciences,Chemistry,7
"Engineering, Industrial",Information and Computing Sciences,Economics,7
Environmental Sciences,Earth Sciences,,7
Biochemical Research Methods,Biological Sciences;Technology,Biology,7
Biotechnology & Applied Microbiology,Engineering;Technology,Biology,7
Biology,Mathematical Sciences,,7
"Psychology, Biological",Medical and Health Sciences,,7
Automation & Control Systems,Information and Computing Sciences;Mathematical Sciences,,7
Robotics,,Computer science,7
"Engineering, Marine",Engineering;Technology,Engineering,7
"Chemistry, Applied",Engineering,Materials science,7
"Physics, Nuclear",Physical Sciences,Physics,7
"Computer Science, Cybernetics",Engineering,Computer science,7
"Business, Finance",,Business,7
Automation & Control Systems,Technology,Engineering,7
Geochemistry & Geophysics,Information and Computing Sciences,Geology,7
Oncology,Medical and Health Sciences,,7
Primary Health Care,,,7
"Computer Science, Interdisciplinary Applications",,Business,7
Energy & Fuels,Engineering,Environmental science,7
,Economics,Environmental science,7
Physiology,Medical and Health Sciences,,7
Transplantation,,,7
,Engineering;Information and Computing Sciences,Physics,7
"Engineering, Electrical & Electronic",Physical Sciences,,7
Energy & Fuels,,Economics,7
,Information and Computing Sciences;Physical Sciences,Physics,7
Endocrinology & Metabolism,Medical and Health Sciences,,7
"Geosciences, Multidisciplinary",Engineering,,7
Pharmacology & Pharmacy,Mathematical Sciences,Mathematics,7
Transportation,Information and Computing Sciences,Computer science,7
Biochemistry & Molecular Biology,Information and Computing Sciences,Chemistry,7
Mathematical & Computational Biology,Biological Sciences;Information and Computing Sciences,Computer science,7
Nanoscience & Nanotechnology,Physical Sciences,Materials science,7
Multidisciplinary Sciences,Physical Sciences,Biology,7
"Medicine, Research & Experimental",Biological Sciences,Biology,7
Biophysics,Engineering,Chemistry,7
Health Care Sciences & Services,Medical and Health Sciences,Medicine,7
Automation & Control Systems,,Chemistry,7
Acoustics,Engineering;Information and Computing Sciences,Computer science,7
"Computer Science, Information Systems",Technology,Engineering,7
Linguistics,,Sociology,7
"Engineering, Environmental",Information and Computing Sciences,Chemistry,7
"Engineering, Biomedical",Medical and Health Sciences,Medicine,7
Water Resources,Engineering,Engineering,7
Ecology,Biological Sciences,Computer science,7
Biochemical Research Methods,Biological Sciences;Mathematical Sciences,Computer science,7
"Computer Science, Interdisciplinary Applications",Engineering;Information and Computing Sciences,Mathematics,7
Acoustics,Engineering,,7
"Computer Science, Software Engineering",Technology,Computer science,7
Ecology,,Geography,7
Surgery,Medical and Health Sciences,Medicine,7
"Computer Science, Software Engineering",Information and Computing Sciences;Technology,Computer science,7
Operations Research & Management Science,Engineering;Mathematical Sciences,Mathematics,7
"Physics, Applied",Information and Computing Sciences,Computer science,7
"Psychology, Multidisciplinary",Information and Computing Sciences,Computer science,7
"Geosciences, Multidisciplinary",Engineering,Geography,7
Green & Sustainable Science & Technology,Engineering,Computer science,7
Education & Educational Research,,Business,7
Behavioral Sciences,Medical and Health Sciences,Computer science,7
"Materials Science, Multidisciplinary",Engineering;Physical Sciences,Chemistry,7
Transportation,,,7
Energy & Fuels,Engineering;Information and Computing Sciences,Computer science,7
"Mathematics, Interdisciplinary Applications",Information and Computing Sciences,Computer science,7
"Chemistry, Multidisciplinary",Technology,Materials science,7
"Engineering, Aerospace",Engineering;Information and Computing Sciences,Engineering,7
Ophthalmology,Medical and Health Sciences,Psychology,7
"Computer Science, Information Systems",Information and Computing Sciences;Mathematical Sciences,Mathematics,7
Biochemical Research Methods,Information and Computing Sciences,Chemistry,7
Automation & Control Systems,Engineering;Mathematical Sciences,Engineering,7
Biochemistry & Molecular Biology,Information and Computing Sciences,,7
History,,History,7
"Engineering, Manufacturing",Engineering,Computer science,7
"Education, Scientific Disciplines",Information and Computing Sciences,,7
"Engineering, Multidisciplinary",,Economics,7
Nuclear Science & Technology,Information and Computing Sciences,Physics,7
"Computer Science, Theory & Methods",Information and Computing Sciences;Mathematical Sciences,Mathematics,7
"Physics, Nuclear",Information and Computing Sciences,Computer science,7
Multidisciplinary Sciences,Biological Sciences;Mathematical Sciences,Biology,7
Instruments & Instrumentation,Information and Computing Sciences,Materials science,7
"Materials Science, Multidisciplinary",Physical Sciences,,7
Multidisciplinary Sciences,,Geology,7
Operations Research & Management Science,,Computer science,6
"Engineering, Biomedical",Physical Sciences,,6
Biochemical Research Methods,Physical Sciences;Technology,,6
Biochemical Research Methods,Biological Sciences;Information and Computing Sciences,,6
"Physics, Multidisciplinary",,Computer science,6
,Medical and Health Sciences,Materials science,6
Health Policy & Services,,,6
Operations Research & Management Science,Mathematical Sciences,,6
Public Administration,,,6
"Materials Science, Composites",,,6
"Engineering, Marine",Information and Computing Sciences,,6
Multidisciplinary Sciences,Information and Computing Sciences,Engineering,6
"Materials Science, Ceramics",,,6
"Mathematics, Interdisciplinary Applications",Engineering,Mathematics,6
"Physics, Applied",,Geography,6
,Earth Sciences,Engineering,6
,Information and Computing Sciences;Medical and Health Sciences,Biology,6
,Biological Sciences,Geography,6
Language & Linguistics,,Psychology,6
Biophysics,,Computer science,6
"Computer Science, Interdisciplinary Applications",Information and Computing Sciences,Business,6
Energy & Fuels,Mathematical Sciences,Computer science,6
"Engineering, Electrical & Electronic",Biological Sciences,Mathematics,6
"Engineering, Multidisciplinary",,Psychology,6
"Computer Science, Interdisciplinary Applications",Engineering,Materials science,6
Cardiac & Cardiovascular Systems,,Computer science,6
"Social Sciences, Mathematical Methods",,,6
Telecommunications,Information and Computing Sciences,Engineering,6
Energy & Fuels,Engineering,Mathematics,6
Respiratory System,,,6
"Physics, Applied",Information and Computing Sciences,Engineering,6
"Geosciences, Multidisciplinary",Earth Sciences,,6
"Computer Science, Hardware & Architecture",Information and Computing Sciences;Mathematical Sciences,Computer science,6
Biophysics,Engineering,Computer science,6
Business,Information and Computing Sciences,,6
Environmental Sciences,Engineering,Computer science,6
"Geosciences, Multidisciplinary",,Physics,6
